#group,false,false,true,true,true,true,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,string,string,double,dateTime:RFC3339
#default,mean,,,,,,,
,result,table,_start,_stop,_field,_measurement,_value,_time
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,30,2021-02-22T16:03:50Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,40,2021-02-22T16:04:00Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,50,2021-02-22T16:04:10Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,60,2021-02-22T16:04:20Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,70,2021-02-22T16:04:30Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,80,2021-02-22T16:04:40Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,81,2021-02-22T16:04:50Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,82,2021-02-22T16:05:00Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,83,2021-02-22T16:05:10Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,84,2021-02-22T16:05:20Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,85,2021-02-22T16:05:30Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,86,2021-02-22T16:05:40Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,87,2021-02-22T16:05:50Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,86,2021-02-22T16:06:00Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,85,2021-02-22T16:06:10Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,84,2021-02-22T16:06:20Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,83,2021-02-22T16:06:30Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,82,2021-02-22T16:06:40Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,83,2021-02-22T16:06:50Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,84,2021-02-22T16:07:00Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,85,2021-02-22T16:07:10Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,86,2021-02-22T16:07:20Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,97,2021-02-22T16:07:30Z
,,0,2021-02-22T16:03:35.1428118Z,2021-02-22T16:08:35.1428118Z,usage_idle,cpu,88,2021-02-22T16:07:40Z