time,open,high,low,close,base_asset_volume,number_of_trades,quote_asset_volume
2021-06-22T00:00:00.000Z,0.17873,0.18243,0.17199,0.17293,75990777.1,51379,27603124.846177
2021-06-22T00:15:00.000Z,0.17298,0.17491,0.16559,0.17088,108633584,65154,37096169.435852
2021-06-22T00:30:00.000Z,0.17086,0.17587,0.16958,0.17325,58951216.4,35613,19102733.196978
2021-06-22T00:45:00.000Z,0.17339,0.179,0.17328,0.17817,50252685.6,28101,16641493.677783
2021-06-22T01:00:00.000Z,0.17814,0.19353,0.17806,0.19311,89915939.7,57703,31585028.079924
2021-06-22T01:15:00.000Z,0.19312,0.19442,0.1856,0.18743,103151067.5,42178,37161542.400126
2021-06-22T01:30:00.000Z,0.18743,0.19281,0.18588,0.19092,39464175.6,22312,15763667.336426
2021-06-22T01:45:00.000Z,0.19092,0.206,0.19087,0.2028,105535922.2,54432,38835098.178344
2021-06-22T02:00:00.000Z,0.2028,0.20433,0.19575,0.19825,50032733.7,33547,20945134.982634
2021-06-22T02:15:00.000Z,0.19825,0.19849,0.19336,0.19496,26273448.4,19489,11411913.43304
2021-06-22T02:30:00.000Z,0.19495,0.20071,0.19481,0.1965,31165265,20390,12417651.423644
2021-06-22T02:45:00.000Z,0.1965,0.20886,0.19602,0.20698,51986569.4,29423,18355196.211427
2021-06-22T03:00:00.000Z,0.207,0.20795,0.20288,0.20565,37198056.2,20299,14302711.51944
2021-06-22T03:15:00.000Z,0.20568,0.21328,0.20332,0.21231,51623348.9,28798,19902413.207414
2021-06-22T03:30:00.000Z,0.21246,0.2174,0.20959,0.21344,70021444.2,39251,28059886.126252
2021-06-22T03:45:00.000Z,0.21344,0.21397,0.20768,0.20897,37425813.5,22720,16786522.632224
2021-06-22T04:00:00.000Z,0.20886,0.21033,0.20518,0.20648,37084963.9,23109,14526643.213836
2021-06-22T04:15:00.000Z,0.20653,0.2073,0.2025,0.20361,25665585.3,16011,11741613.002694
2021-06-22T04:30:00.000Z,0.20355,0.20683,0.20168,0.20242,24329800.4,13394,9036242.876936
2021-06-22T04:45:00.000Z,0.20239,0.2045,0.20053,0.20358,23432142.1,13272,8801524.610494
2021-06-22T05:00:00.000Z,0.20365,0.20643,0.2011,0.20164,18745143.9,12661,7863276.231655
2021-06-22T05:15:00.000Z,0.20169,0.20345,0.19611,0.19703,30124488.9,16965,13942217.828688
2021-06-22T05:30:00.000Z,0.19703,0.19832,0.19391,0.19575,31770738.8,20887,13269698.244264
2021-06-22T05:45:00.000Z,0.19571,0.19816,0.19494,0.19739,16509636.1,10311,6203517.296015
2021-06-22T06:00:00.000Z,0.1974,0.20083,0.197,0.19859,26545513.8,12628,8856678.310933
2021-06-22T06:15:00.000Z,0.1986,0.2065,0.19854,0.20414,36943859.2,19385,13801850.250338
2021-06-22T06:30:00.000Z,0.20413,0.20533,0.20037,0.2008,14098815.6,9054,5701482.427744
2021-06-22T06:45:00.000Z,0.20086,0.20501,0.1977,0.2046,24871271.4,12413,9335374.105539
2021-06-22T07:00:00.000Z,0.2046,0.206,0.20044,0.20181,19090853.7,11855,7678213.129146
2021-06-22T07:15:00.000Z,0.20181,0.20432,0.19963,0.20417,18135028.5,10402,7337578.87728
2021-06-22T07:30:00.000Z,0.20417,0.20716,0.20248,0.20683,19691305.5,13003,7492184.754536
2021-06-22T07:45:00.000Z,0.20693,0.207,0.20251,0.20391,12644614.6,9420,5823258.250861
2021-06-22T08:00:00.000Z,0.20398,0.20507,0.19284,0.19401,61403849.5,32163,27615401.908902
2021-06-22T08:15:00.000Z,0.19402,0.19469,0.18822,0.18982,73490243.6,42569,35823733.149659
2021-06-22T08:30:00.000Z,0.18969,0.19185,0.18582,0.1879,55821299.7,33428,24479753.845225
2021-06-22T08:45:00.000Z,0.1879,0.1899,0.18602,0.18884,32222938.8,19579,11910080.772895
2021-06-22T09:00:00.000Z,0.18885,0.19127,0.18462,0.1878,54094753.1,27730,20219447.239136
2021-06-22T09:15:00.000Z,0.18782,0.18875,0.1846,0.186,23411598.1,15117,9337611.627735
2021-06-22T09:30:00.000Z,0.186,0.18784,0.18333,0.18402,34766723.9,19176,12843179.44365
2021-06-22T09:45:00.000Z,0.18402,0.18699,0.18162,0.18689,42663259.2,19768,16318087.577153
2021-06-22T10:00:00.000Z,0.18693,0.1887,0.18296,0.18399,31575112.8,16605,12000810.484769
2021-06-22T10:15:00.000Z,0.18408,0.19001,0.17939,0.18505,70101302.8,32437,26224080.281918
2021-06-22T10:30:00.000Z,0.18511,0.197,0.185,0.19486,74698103.1,32548,25609009.612003
2021-06-22T10:45:00.000Z,0.19501,0.19507,0.1903,0.19126,32571359.7,17242,12218522.631523
2021-06-22T11:00:00.000Z,0.1914,0.19228,0.1873,0.18794,24468373.3,14867,10432735.18154
2021-06-22T11:15:00.000Z,0.18788,0.19047,0.18441,0.18467,23102854.5,13348,8445522.844229
2021-06-22T11:30:00.000Z,0.18466,0.18682,0.18331,0.18656,17930971.1,10744,6317410.340269
2021-06-22T11:45:00.000Z,0.18652,0.18895,0.18248,0.18297,25336627.4,16135,9895809.718308
2021-06-22T12:00:00.000Z,0.18297,0.18384,0.17662,0.17711,76310431.5,46036,29998309.9164
2021-06-22T12:15:00.000Z,0.17697,0.18344,0.17104,0.1729,96511245.6,50371,33423136.775597
2021-06-22T12:30:00.000Z,0.17283,0.17955,0.16823,0.17005,106837997.5,60756,37807604.382501
2021-06-22T12:45:00.000Z,0.17005,0.178,0.169,0.17485,81208614.2,48055,28023308.022837
2021-06-22T13:00:00.000Z,0.17485,0.17902,0.1728,0.17448,59926900.1,32885,19863170.471687
2021-06-22T13:15:00.000Z,0.17441,0.17647,0.17132,0.17604,43087597.6,27104,16954223.44584
2021-06-22T13:30:00.000Z,0.17601,0.17735,0.16925,0.1713,40119846,26276,15294304.32829
2021-06-22T13:45:00.000Z,0.17127,0.172,0.16322,0.16963,98176739.6,56254,35542196.028458
2021-06-22T14:00:00.000Z,0.16961,0.17271,0.16731,0.17168,52502721.4,31665,17532305.811249
2021-06-22T14:15:00.000Z,0.17167,0.17457,0.16921,0.17332,48328262.6,26755,14573572.632215
2021-06-22T14:30:00.000Z,0.17332,0.1777,0.1718,0.17646,52764916.8,25831,15934801.093179
2021-06-22T14:45:00.000Z,0.17646,0.18699,0.17432,0.18355,83080380.4,41761,26859469.606082
2021-06-22T15:00:00.000Z,0.18355,0.188,0.18034,0.18426,50993904.7,30317,18394207.188312
2021-06-22T15:15:00.000Z,0.18424,0.19381,0.18305,0.19198,67835259.8,42732,25446999.961313
2021-06-22T15:30:00.000Z,0.19194,0.2,0.19085,0.19208,87231218.8,52911,34344939.686926
2021-06-22T15:45:00.000Z,0.19211,0.19555,0.18894,0.19323,40365090.3,29170,16553636.306628
2021-06-22T16:00:00.000Z,0.19323,0.2021,0.19101,0.19908,89706727.5,47998,32098918.681706
2021-06-22T16:15:00.000Z,0.19911,0.20472,0.19562,0.19626,53932745.8,33815,20656241.782596
2021-06-22T16:30:00.000Z,0.19626,0.19628,0.18942,0.18982,62953607.7,38016,23692688.404972
2021-06-22T16:45:00.000Z,0.18984,0.1955,0.18956,0.19514,38463186.4,21770,12193604.130089
2021-06-22T17:00:00.000Z,0.19515,0.19712,0.18931,0.18974,29319102.3,18874,11455622.352792
2021-06-22T17:15:00.000Z,0.18983,0.19224,0.18764,0.19185,32330067.8,17291,10893867.547901
2021-06-22T17:30:00.000Z,0.19185,0.19376,0.19011,0.19057,14543083.7,9325,5858645.259216
2021-06-22T17:45:00.000Z,0.19057,0.19544,0.19015,0.19376,22548690.9,13072,7913148.207162
2021-06-22T18:00:00.000Z,0.19368,0.19402,0.19025,0.19302,20681103.4,10481,8240443.729479
2021-06-22T18:15:00.000Z,0.19303,0.1961,0.19258,0.1943,22290975.7,9684,7465766.446857
2021-06-22T18:30:00.000Z,0.19434,0.19939,0.19353,0.19903,25644138.5,16217,9604269.896277
2021-06-22T18:45:00.000Z,0.19902,0.19918,0.19539,0.19658,14070062,8059,5223675.708073
2021-06-22T19:00:00.000Z,0.19668,0.19741,0.1913,0.19224,15485556.4,10014,6440891.322693
2021-06-22T19:15:00.000Z,0.19223,0.19333,0.18793,0.19003,32382731.5,13960,10215835.824467
2021-06-22T19:30:00.000Z,0.18999,0.19239,0.18923,0.19048,11926762.5,8349,4509071.739828
2021-06-22T19:45:00.000Z,0.19049,0.19124,0.18765,0.18786,11497478.9,7867,4540726.047359
2021-06-22T20:00:00.000Z,0.18781,0.19099,0.18673,0.1904,8854175.8,6996,3438650.672888
2021-06-22T20:15:00.000Z,0.1904,0.19454,0.19018,0.19225,14484487.6,8253,4913079.397959
2021-06-22T20:30:00.000Z,0.19229,0.19379,0.19057,0.19357,10523614.9,6208,4259558.935922
2021-06-22T20:45:00.000Z,0.19361,0.19663,0.1924,0.19498,11546638,7466,4150557.633208
2021-06-22T21:00:00.000Z,0.19499,0.19552,0.19111,0.19144,8172123.3,5750,3064573.770818
2021-06-22T21:15:00.000Z,0.19146,0.19241,0.19012,0.19024,8239979.2,3987,2591609.138618
2021-06-22T21:30:00.000Z,0.19024,0.19101,0.18728,0.18778,7805577.4,6134,3852687.86781
2021-06-22T21:45:00.000Z,0.18764,0.18896,0.18563,0.18814,9900482,6387,3635232.920207
2021-06-22T22:00:00.000Z,0.18814,0.19176,0.18777,0.19093,9981026.8,6333,3420666.762266
2021-06-22T22:15:00.000Z,0.1908,0.1915,0.18699,0.18716,10745230.2,6299,4330822.750594
2021-06-22T22:30:00.000Z,0.18716,0.19019,0.18673,0.1892,10302158,5824,3549740.273816
2021-06-22T22:45:00.000Z,0.18929,0.191,0.18702,0.19082,7292992.5,5170,2803370.912254
2021-06-22T23:00:00.000Z,0.19073,0.19222,0.18837,0.18905,10099301.9,7398,4314012.902224
2021-06-22T23:15:00.000Z,0.18905,0.19071,0.18735,0.18774,10726279.6,10879,3797825.129543
2021-06-22T23:30:00.000Z,0.18774,0.18884,0.18612,0.18724,11002927.4,11798,4692492.097842
2021-06-22T23:45:00.000Z,0.18723,0.19094,0.18701,0.19072,11172092.8,13457,4154572.52533
2021-06-23T00:00:00.000Z,0.19075,0.19244,0.18272,0.18284,35964200.3,27949,13919665.321916
2021-06-23T00:15:00.000Z,0.18287,0.186,0.18046,0.18428,32686258.8,27147,11769221.63177
2021-06-23T00:30:00.000Z,0.18432,0.19372,0.18411,0.19346,36716386.9,24714,13456808.490323
2021-06-23T00:45:00.000Z,0.19355,0.19547,0.19086,0.19322,45432283.2,26131,16694109.179991
2021-06-23T01:00:00.000Z,0.19316,0.2019,0.19214,0.20076,56342599.7,38694,22325390.884615
2021-06-23T01:15:00.000Z,0.20073,0.2025,0.19755,0.2007,50301272.8,26056,19899025.692846
2021-06-23T01:30:00.000Z,0.20073,0.20181,0.19724,0.19724,26635470.8,13132,10750034.978041
2021-06-23T01:45:00.000Z,0.19724,0.20049,0.1963,0.20012,26464115.8,13187,9210210.637062
2021-06-23T02:00:00.000Z,0.2002,0.21,0.20018,0.20749,59453047,35352,22424987.003623
2021-06-23T02:15:00.000Z,0.2075,0.21159,0.20561,0.20734,56437262.5,24355,19612584.223951
2021-06-23T02:30:00.000Z,0.20722,0.21799,0.2072,0.21789,57285087.6,32181,23099979.175028
2021-06-23T02:45:00.000Z,0.21782,0.22169,0.21256,0.21392,75587419.7,40456,30052235.601894
2021-06-23T03:00:00.000Z,0.2139,0.21461,0.2087,0.20916,36167591.5,24132,15521994.404369
2021-06-23T03:15:00.000Z,0.20921,0.21277,0.2086,0.21219,39725943.6,15792,13744497.224509
2021-06-23T03:30:00.000Z,0.21219,0.21257,0.20739,0.20798,19556783.5,11223,8207255.629088
2021-06-23T03:45:00.000Z,0.20804,0.20964,0.2074,0.20898,25923315.8,12660,9588354.496158
2021-06-23T04:00:00.000Z,0.20898,0.2118,0.2072,0.2073,34625607.6,14354,12995340.586456
2021-06-23T04:15:00.000Z,0.20731,0.20867,0.20557,0.20674,18524301.4,9897,7426012.838895
2021-06-23T04:30:00.000Z,0.20673,0.21032,0.20633,0.21031,17695043.3,9289,6199325.527244
2021-06-23T04:45:00.000Z,0.21032,0.21422,0.20826,0.21027,27776829.2,15882,11784236.436955
2021-06-23T05:00:00.000Z,0.21026,0.21113,0.20761,0.20889,21068445.6,12153,8727481.361663
2021-06-23T05:15:00.000Z,0.20885,0.21129,0.20737,0.20996,15008827.7,8705,6348420.377013
2021-06-23T05:30:00.000Z,0.2099,0.21574,0.20986,0.21466,29987502.7,17137,12702926.938977
2021-06-23T05:45:00.000Z,0.21467,0.2194,0.21467,0.21779,52905734.6,23992,19096389.184745
2021-06-23T06:00:00.000Z,0.21774,0.2194,0.21448,0.2159,27320095.4,15261,11300018.415626
2021-06-23T06:15:00.000Z,0.21595,0.22017,0.21489,0.21904,37961891.3,17833,14105012.63976
2021-06-23T06:30:00.000Z,0.21904,0.22141,0.21745,0.21924,31495949.2,18135,12795341.593695
2021-06-23T06:45:00.000Z,0.21918,0.21918,0.21461,0.21522,22635522.7,13667,10190388.450507
2021-06-23T07:00:00.000Z,0.21521,0.21786,0.21451,0.21645,15799056.6,8047,6100841.818707
2021-06-23T07:15:00.000Z,0.21644,0.21746,0.21436,0.21681,18143149.3,9465,7919084.331196
2021-06-23T07:30:00.000Z,0.21677,0.219,0.21632,0.21841,19087618.3,9540,7719746.45338
2021-06-23T07:45:00.000Z,0.21841,0.222,0.21805,0.21896,28558345.6,16093,10732523.790312
2021-06-23T08:00:00.000Z,0.21893,0.222,0.21509,0.21753,25722514.4,15892,11246788.084506
2021-06-23T08:15:00.000Z,0.21754,0.22022,0.21663,0.21827,16680578.1,11173,7904435.255946
2021-06-23T08:30:00.000Z,0.21827,0.21935,0.21512,0.21605,21298956,9626,8383324.152272
2021-06-23T08:45:00.000Z,0.21601,0.21672,0.21265,0.21294,17378629.3,10517,8452231.427434
2021-06-23T09:00:00.000Z,0.21287,0.2155,0.21134,0.21474,21991549.4,11432,8335161.434538
2021-06-23T09:15:00.000Z,0.21475,0.21595,0.2135,0.21485,14789932.2,8416,6713384.502182
2021-06-23T09:30:00.000Z,0.21484,0.21603,0.21236,0.2139,11862212.5,7643,5255421.497639
2021-06-23T09:45:00.000Z,0.2139,0.21522,0.21187,0.21446,18734459.9,7567,7621952.700212
2021-06-23T10:00:00.000Z,0.21452,0.21647,0.21368,0.21411,14118244.3,7374,5935355.182886
2021-06-23T10:15:00.000Z,0.21409,0.21651,0.21317,0.21638,15228931.3,6965,5489759.286531
2021-06-23T10:30:00.000Z,0.21639,0.21999,0.21634,0.21811,19600663.9,13544,8392124.364827
2021-06-23T10:45:00.000Z,0.21819,0.22084,0.21792,0.21922,24182172.9,12014,10105577.819642
2021-06-23T11:00:00.000Z,0.21922,0.224,0.21918,0.22156,42477778.1,22326,19080383.638341
2021-06-23T11:15:00.000Z,0.22153,0.22153,0.2177,0.21814,21025770,11510,10023067.294932
2021-06-23T11:30:00.000Z,0.21818,0.22,0.21618,0.21989,21106839.2,9463,7388946.042675
2021-06-23T11:45:00.000Z,0.21995,0.2211,0.21836,0.21945,15677990.1,9656,6782459.183748
2021-06-23T12:00:00.000Z,0.21938,0.22333,0.21828,0.22071,36367413.5,18896,14837374.356572
2021-06-23T12:15:00.000Z,0.22071,0.22846,0.22047,0.22801,59311323.4,30086,23413108.479964
2021-06-23T12:30:00.000Z,0.22799,0.23123,0.22674,0.22815,82789518.5,34482,31714530.725605
2021-06-23T12:45:00.000Z,0.22804,0.2385,0.22794,0.23634,100572930.2,52623,41232960.051759
2021-06-23T13:00:00.000Z,0.23634,0.24757,0.23419,0.24676,121026880.2,69402,52167866.972549
2021-06-23T13:15:00.000Z,0.24685,0.2485,0.24051,0.24308,97787398.7,56872,50719064.022771
2021-06-23T13:30:00.000Z,0.24308,0.24417,0.23675,0.23922,83728211.9,45084,39694628.043762
2021-06-23T13:45:00.000Z,0.23922,0.23944,0.23403,0.23492,51585512.1,30881,26838095.335905
2021-06-23T14:00:00.000Z,0.23492,0.23559,0.23222,0.23496,43327800.7,28269,19222149.56075
2021-06-23T14:15:00.000Z,0.23496,0.23991,0.23469,0.23899,43067561.5,23756,19111525.20394
2021-06-23T14:30:00.000Z,0.23899,0.24385,0.23732,0.24279,37283256.5,20819,15288640.918286
2021-06-23T14:45:00.000Z,0.24277,0.24466,0.23839,0.23884,32876191.3,25234,16484183.831528
2021-06-23T15:00:00.000Z,0.23887,0.2395,0.23105,0.23183,42034890.5,25850,20894067.008311
2021-06-23T15:15:00.000Z,0.23184,0.2344,0.23006,0.2322,31804595.2,20946,15908736.268104
2021-06-23T15:30:00.000Z,0.23219,0.2359,0.23103,0.23127,29676075.4,15450,12215602.166111
2021-06-23T15:45:00.000Z,0.23131,0.23135,0.22636,0.22758,45746245.8,25922,22035679.863767
2021-06-23T16:00:00.000Z,0.22758,0.23385,0.225,0.23124,62138080.5,36235,29218371.104539
2021-06-23T16:15:00.000Z,0.23117,0.23497,0.2303,0.23068,34774362.2,18711,14890150.553653
2021-06-23T16:30:00.000Z,0.23075,0.23161,0.22743,0.23003,22478926.5,13993,9388652.475536
2021-06-23T16:45:00.000Z,0.22984,0.23313,0.2284,0.23181,17697235.9,11866,7858303.459481
2021-06-23T17:00:00.000Z,0.23188,0.23432,0.23112,0.234,11640029.5,8691,5330364.711341
2021-06-23T17:15:00.000Z,0.234,0.23454,0.22942,0.22972,11971117.4,10004,5669833.11916
2021-06-23T17:30:00.000Z,0.22972,0.2328,0.2288,0.23191,10312917.4,9627,4477578.790467
2021-06-23T17:45:00.000Z,0.2319,0.2331,0.23106,0.23215,9427308.2,8298,4201679.481984
2021-06-23T18:00:00.000Z,0.23218,0.23222,0.22397,0.22461,27360909.6,17816,13526060.710573
2021-06-23T18:15:00.000Z,0.2248,0.22576,0.22155,0.2248,46815459.4,23404,22039518.821808
2021-06-23T18:30:00.000Z,0.2248,0.22705,0.2235,0.22387,15477037.7,10367,6718763.455101
2021-06-23T18:45:00.000Z,0.22388,0.22416,0.22,0.22138,24790657,16747,12175846.034817
2021-06-23T19:00:00.000Z,0.22136,0.22431,0.22125,0.22357,8809678.1,8159,4110585.127643
2021-06-23T19:15:00.000Z,0.22357,0.22556,0.22,0.22001,12665141.7,9726,5717388.155435
2021-06-23T19:30:00.000Z,0.22009,0.22163,0.2185,0.219,15654586.2,11318,7255398.613448
2021-06-23T19:45:00.000Z,0.21903,0.2197,0.21568,0.21596,29190257,18502,14071572.118461
2021-06-23T20:00:00.000Z,0.21596,0.22115,0.21535,0.2207,34120185.3,20155,15027713.849005
2021-06-23T20:15:00.000Z,0.2207,0.223,0.21902,0.22139,23487332.4,12629,11115550.565364
2021-06-23T20:30:00.000Z,0.22139,0.22502,0.22041,0.22404,20674061.9,11040,10133855.987943
2021-06-23T20:45:00.000Z,0.22396,0.22396,0.2186,0.22046,10991797.7,7812,5708648.174105
2021-06-23T21:00:00.000Z,0.22036,0.22232,0.21775,0.2222,12326816.5,6977,5886152.996006
2021-06-23T21:15:00.000Z,0.2222,0.2272,0.2222,0.22367,17845698.4,11380,7812434.878364
2021-06-23T21:30:00.000Z,0.22368,0.22626,0.22129,0.22612,8396407.6,6867,3774926.705157
2021-06-23T21:45:00.000Z,0.22606,0.2323,0.2252,0.23185,36585597.3,20937,14180916.019316
2021-06-23T22:00:00.000Z,0.23187,0.238,0.22998,0.23573,38888973.8,30888,19172888.060093
2021-06-23T22:15:00.000Z,0.2359,0.23705,0.23219,0.23697,21675681.4,14483,9856326.632543
2021-06-23T22:30:00.000Z,0.23693,0.23793,0.23316,0.23518,15825034.7,11081,7417504.64083
2021-06-23T22:45:00.000Z,0.23512,0.23546,0.23189,0.23379,14018193.2,8400,6121401.588084
2021-06-23T23:00:00.000Z,0.23382,0.2345,0.229,0.22952,12440623.2,9597,5946927.816942
2021-06-23T23:15:00.000Z,0.2295,0.23679,0.22943,0.23614,20333621.3,11862,8392844.123975
2021-06-23T23:30:00.000Z,0.23619,0.23804,0.23359,0.23749,18642459.8,10567,7358821.071414
2021-06-23T23:45:00.000Z,0.23739,0.23744,0.23422,0.23468,11203061.6,7486,5052725.519739
2021-06-24T00:00:00.000Z,0.23475,0.24343,0.23331,0.24273,53633873.7,33367,22575269.666573
2021-06-24T00:15:00.000Z,0.24263,0.24269,0.23815,0.23981,28921654.7,15898,14424338.93992
2021-06-24T00:30:00.000Z,0.23977,0.24144,0.23547,0.23608,30385947.5,19829,20025852.029493
2021-06-24T00:45:00.000Z,0.23623,0.23795,0.23129,0.23225,33042897.6,14813,13877391.643979
2021-06-24T01:00:00.000Z,0.23229,0.23422,0.22982,0.23319,21010019,12171,10002737.415023
2021-06-24T01:15:00.000Z,0.23326,0.2352,0.22848,0.22869,17485169.1,11619,8634110.310587
2021-06-24T01:30:00.000Z,0.22863,0.23056,0.22507,0.22652,27042776.1,16194,12260335.165602
2021-06-24T01:45:00.000Z,0.22651,0.22777,0.22245,0.22513,29822541.6,15967,14915223.066081
2021-06-24T02:00:00.000Z,0.22512,0.227,0.22378,0.22621,25121994.1,11877,10997492.162837
2021-06-24T02:15:00.000Z,0.2262,0.22812,0.22325,0.22351,18965750.3,11030,9697497.654134
2021-06-24T02:30:00.000Z,0.22351,0.22499,0.222,0.22351,18963466.1,10363,8530108.581625
2021-06-24T02:45:00.000Z,0.22357,0.22629,0.22357,0.22418,14602554.3,6850,5940538.127323
2021-06-24T03:00:00.000Z,0.22418,0.22879,0.22346,0.22809,15209189.1,9809,7259108.482021
2021-06-24T03:15:00.000Z,0.22801,0.22883,0.22575,0.22853,9882794.6,6266,4029699.232042
2021-06-24T03:30:00.000Z,0.22854,0.23222,0.22799,0.22845,22298318.8,13497,9811890.573796
2021-06-24T03:45:00.000Z,0.22847,0.22997,0.22603,0.22901,15183809.6,8817,6576935.739852
2021-06-24T04:00:00.000Z,0.229,0.23367,0.22841,0.23044,22026820.8,14674,11848893.800036
2021-06-24T04:15:00.000Z,0.2305,0.23129,0.22755,0.23056,15680431.8,9560,7425788.335655
2021-06-24T04:30:00.000Z,0.23056,0.23056,0.22615,0.22705,14361095.3,9927,8165111.590492
2021-06-24T04:45:00.000Z,0.22694,0.22938,0.2265,0.22694,10829574.5,5633,4308768.858192
2021-06-24T05:00:00.000Z,0.22686,0.22952,0.22565,0.22833,11488112.4,7881,5850174.126882
2021-06-24T05:15:00.000Z,0.22833,0.23056,0.22822,0.22927,10284244.1,6401,4399293.412859
2021-06-24T05:30:00.000Z,0.22933,0.2327,0.22926,0.23082,13232840.4,8068,5390693.767069
2021-06-24T05:45:00.000Z,0.23075,0.23388,0.2307,0.23353,14536660,8346,6803431.065349
2021-06-24T06:00:00.000Z,0.23358,0.2338,0.23112,0.23162,12269663.6,8149,7911528.61811
2021-06-24T06:15:00.000Z,0.23171,0.23187,0.22983,0.23003,8976522.4,5501,4129724.129104
2021-06-24T06:30:00.000Z,0.23003,0.23303,0.22923,0.23182,10619042.5,6383,4531404.32861
2021-06-24T06:45:00.000Z,0.23182,0.23555,0.23177,0.23405,17219745.4,10160,7783424.842827
2021-06-24T07:00:00.000Z,0.23405,0.23526,0.23239,0.23463,10696129.4,6822,5550158.747378
2021-06-24T07:15:00.000Z,0.23461,0.2385,0.23308,0.23721,27416095,14626,13889833.244907
2021-06-24T07:30:00.000Z,0.23721,0.23778,0.23559,0.23616,13316956.5,7130,6296828.344481
2021-06-24T07:45:00.000Z,0.23621,0.23626,0.232,0.23284,17022269.3,10364,9665791.288193
2021-06-24T08:00:00.000Z,0.23284,0.23395,0.23087,0.23317,13701752,9027,6335901.713371
2021-06-24T08:15:00.000Z,0.23314,0.235,0.2326,0.23306,12095790.5,6286,5111899.06801
2021-06-24T08:30:00.000Z,0.23306,0.23403,0.23111,0.23353,10293209.5,6387,4856479.422836
2021-06-24T08:45:00.000Z,0.2335,0.2389,0.23287,0.2383,26621995.8,15681,11550817.496031
2021-06-24T09:00:00.000Z,0.23829,0.2392,0.23568,0.23684,17281593.6,10077,8251230.923874
2021-06-24T09:15:00.000Z,0.23686,0.24031,0.23618,0.23754,21581534.1,14848,9652358.967169
2021-06-24T09:30:00.000Z,0.23757,0.23937,0.23522,0.23847,16379907.6,10492,7344748.653538
2021-06-24T09:45:00.000Z,0.23846,0.24,0.23723,0.23738,14426464.5,10462,6957816.391344
2021-06-24T10:00:00.000Z,0.23738,0.2385,0.23553,0.23809,13791436,9664,5989213.790615
