#Path,Method,action,kind,sub,OperationName,OperationNameAlt,Description,metadata
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists,DELETE,deletecollection,Playlist,,deletecollectionNamespacedPlaylist,,delete collection of Playlist,"{""x-kubernetes-action"":""deletecollection"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/watch/namespaces/{namespace}/playlists,GET,watchlist,Playlist,,watchNamespacedPlaylistList,,watch individual changes to a list of Playlist. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists/{name},GET,get,Playlist,,readNamespacedPlaylist,,read the specified Playlist,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists/{name},PUT,put,Playlist,,replaceNamespacedPlaylist,,replace the specified Playlist,"{""x-kubernetes-action"":""put"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists/{name},PATCH,patch,Playlist,,patchNamespacedPlaylist,,partially update the specified Playlist,"{""x-kubernetes-action"":""patch"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/namespaces/{namespace}/playlists/{name},DELETE,delete,Playlist,,deleteNamespacedPlaylist,,delete a Playlist,"{""x-kubernetes-action"":""delete"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/watch/namespaces/{namespace}/playlists/{name},GET,watch,Playlist,,watchNamespacedPlaylist,,"watch changes to an object of kind Playlist. deprecated: use the 'watch' parameter with a list operation instead, filtered to a single item with the 'fieldSelector' parameter.","{""x-kubernetes-action"":""watch"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/playlists,GET,list,Playlist,,listPlaylistForAllNamespaces,,list or watch objects of kind Playlist,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/watch/playlists,GET,watchlist,Playlist,,watchPlaylistListForAllNamespaces,,watch individual changes to a list of Playlist. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""playlist.grafana.app"",""version"":""v0alpha1"",""kind"":""Playlist""}}"
/apis/playlist.grafana.app/v0alpha1/,GET,,,,getAPIResources,,get available resources,null
/apis/playlist.grafana.app/,GET,,,,getAPIGroup,,get information of a group,null
/apis/featuretoggle.grafana.app/v0alpha1/featuretoggles,GET,list,FeatureToggles,,listFeatureTogglesForAllNamespaces,,list objects of kind FeatureToggles,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""FeatureToggles""}}"
/apis/featuretoggle.grafana.app/v0alpha1/,GET,,,,getAPIResources,,get available resources,null
/apis/featuretoggle.grafana.app/v0alpha1/features,GET,list,Feature,,listFeature,,list objects of kind Feature,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""Feature""}}"
/apis/featuretoggle.grafana.app/v0alpha1/features/{name},GET,get,Feature,,readFeature,,read the specified Feature,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""Feature""}}"
/apis/featuretoggle.grafana.app/v0alpha1/namespaces/{namespace}/featuretoggles,GET,list,FeatureToggles,,listNamespacedFeatureToggles,,list objects of kind FeatureToggles,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""FeatureToggles""}}"
/apis/featuretoggle.grafana.app/v0alpha1/namespaces/{namespace}/featuretoggles/{name},GET,get,FeatureToggles,,readNamespacedFeatureToggles,,read the specified FeatureToggles,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""featuretoggle.grafana.app"",""version"":""v0alpha1"",""kind"":""FeatureToggles""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name}/dto,GET,connect,DashboardWithAccessInfo,dto,connectGetNamespacedDashboardDto,getNamespacedDashboardDto,connect GET requests to dto of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""DashboardWithAccessInfo""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name}/latest,GET,connect,PartialObjectMetadataList,latest,connectGetNamespacedDashboardLatest,getNamespacedDashboardLatest,connect GET requests to latest of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""PartialObjectMetadataList""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name}/restore,POST,connect,PartialObjectMetadataList,restore,connectPostNamespacedDashboardRestore,postNamespacedDashboardRestore,connect POST requests to restore of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""PartialObjectMetadataList""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/librarypanels/{name},GET,get,LibraryPanel,,readNamespacedLibraryPanel,,read the specified LibraryPanel,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""LibraryPanel""}}"
/apis/dashboard.grafana.app/v0alpha1/librarypanels,GET,list,LibraryPanel,,listLibraryPanelForAllNamespaces,,list objects of kind LibraryPanel,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""LibraryPanel""}}"
/apis/dashboard.grafana.app/v0alpha1/watch/namespaces/{namespace}/dashboards/{name},GET,watch,Dashboard,,watchNamespacedDashboard,,"watch changes to an object of kind Dashboard. deprecated: use the 'watch' parameter with a list operation instead, filtered to a single item with the 'fieldSelector' parameter.","{""x-kubernetes-action"":""watch"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/watch/dashboards,GET,watchlist,Dashboard,,watchDashboardListForAllNamespaces,,watch individual changes to a list of Dashboard. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/,GET,,,,getAPIResources,,get available resources,null
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards,GET,list,Dashboard,,listNamespacedDashboard,,list or watch objects of kind Dashboard,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards,POST,post,Dashboard,,createNamespacedDashboard,,create a Dashboard,"{""x-kubernetes-action"":""post"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards,DELETE,deletecollection,Dashboard,,deletecollectionNamespacedDashboard,,delete collection of Dashboard,"{""x-kubernetes-action"":""deletecollection"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/dashboards,GET,list,Dashboard,,listDashboardForAllNamespaces,,list or watch objects of kind Dashboard,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/watch/namespaces/{namespace}/dashboards,GET,watchlist,Dashboard,,watchNamespacedDashboardList,,watch individual changes to a list of Dashboard. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name}/history,GET,connect,PartialObjectMetadataList,history,connectGetNamespacedDashboardHistory,getNamespacedDashboardHistory,connect GET requests to history of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""PartialObjectMetadataList""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/librarypanels,GET,list,LibraryPanel,,listNamespacedLibraryPanel,,list objects of kind LibraryPanel,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""LibraryPanel""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name},GET,get,Dashboard,,readNamespacedDashboard,,read the specified Dashboard,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name},PUT,put,Dashboard,,replaceNamespacedDashboard,,replace the specified Dashboard,"{""x-kubernetes-action"":""put"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name},PATCH,patch,Dashboard,,patchNamespacedDashboard,,partially update the specified Dashboard,"{""x-kubernetes-action"":""patch"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v0alpha1/namespaces/{namespace}/dashboards/{name},DELETE,delete,Dashboard,,deleteNamespacedDashboard,,delete a Dashboard,"{""x-kubernetes-action"":""delete"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v0alpha1"",""kind"":""Dashboard""}}"
/apis/,GET,,,,getAPIVersions,,get available API versions,null
/apis/folder.grafana.app/,GET,,,,getAPIGroup,,get information of a group,null
/apis/iam.grafana.app/v0alpha1/teambindings,GET,list,TeamBinding,,listTeamBindingForAllNamespaces,,list objects of kind TeamBinding,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""TeamBinding""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/users/{name},GET,get,User,,readNamespacedUser,,read the specified User,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""User""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/ssosettings/{name},GET,get,SSOSetting,,readNamespacedSSOSetting,,read the specified SSOSetting,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""SSOSetting""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/ssosettings/{name},PUT,put,SSOSetting,,replaceNamespacedSSOSetting,,replace the specified SSOSetting,"{""x-kubernetes-action"":""put"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""SSOSetting""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/ssosettings/{name},PATCH,patch,SSOSetting,,patchNamespacedSSOSetting,,partially update the specified SSOSetting,"{""x-kubernetes-action"":""patch"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""SSOSetting""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/ssosettings/{name},DELETE,delete,SSOSetting,,deleteNamespacedSSOSetting,,delete a SSOSetting,"{""x-kubernetes-action"":""delete"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""SSOSetting""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/serviceaccounts/{name},GET,get,ServiceAccount,,readNamespacedServiceAccount,,read the specified ServiceAccount,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""ServiceAccount""}}"
/apis/iam.grafana.app/v0alpha1/serviceaccounts,GET,list,ServiceAccount,,listServiceAccountForAllNamespaces,,list objects of kind ServiceAccount,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""ServiceAccount""}}"
/apis/iam.grafana.app/v0alpha1/ssosettings,GET,list,SSOSetting,,listSSOSettingForAllNamespaces,,list objects of kind SSOSetting,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""SSOSetting""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/teambindings/{name},GET,get,TeamBinding,,readNamespacedTeamBinding,,read the specified TeamBinding,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""TeamBinding""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/teams/{name}/members,GET,connect,TeamMemberList,members,connectGetNamespacedTeamMembers,getNamespacedTeamMembers,connect GET requests to members of Team,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""TeamMemberList""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/users,GET,list,User,,listNamespacedUser,,list objects of kind User,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""User""}}"
/apis/iam.grafana.app/v0alpha1/users,GET,list,User,,listUserForAllNamespaces,,list objects of kind User,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""User""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/display/{name},GET,connect,DisplayList,,connectGetNamespacedDisplayList,getNamespacedDisplayList,connect GET requests to DisplayList,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""DisplayList""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/ssosettings,GET,list,SSOSetting,,listNamespacedSSOSetting,,list objects of kind SSOSetting,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""SSOSetting""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/teambindings,GET,list,TeamBinding,,listNamespacedTeamBinding,,list objects of kind TeamBinding,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""TeamBinding""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/users/{name}/teams,GET,connect,UserTeamList,teams,connectGetNamespacedUserTeams,getNamespacedUserTeams,connect GET requests to teams of User,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""UserTeamList""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/serviceaccounts/{name}/tokens,GET,connect,UserTeamList,tokens,connectGetNamespacedServiceAccountTokens,getNamespacedServiceAccountTokens,connect GET requests to tokens of ServiceAccount,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""UserTeamList""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/teams,GET,list,Team,,listNamespacedTeam,,list objects of kind Team,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""Team""}}"
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/teams/{name},GET,get,Team,,readNamespacedTeam,,read the specified Team,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""Team""}}"
/apis/iam.grafana.app/v0alpha1/teams,GET,list,Team,,listTeamForAllNamespaces,,list objects of kind Team,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""Team""}}"
/apis/iam.grafana.app/v0alpha1/,GET,,,,getAPIResources,,get available resources,null
/apis/iam.grafana.app/v0alpha1/namespaces/{namespace}/serviceaccounts,GET,list,ServiceAccount,,listNamespacedServiceAccount,,list objects of kind ServiceAccount,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""iam.grafana.app"",""version"":""v0alpha1"",""kind"":""ServiceAccount""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards/{name},GET,get,Dashboard,,readNamespacedDashboard,,read the specified Dashboard,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards/{name},PUT,put,Dashboard,,replaceNamespacedDashboard,,replace the specified Dashboard,"{""x-kubernetes-action"":""put"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards/{name},PATCH,patch,Dashboard,,patchNamespacedDashboard,,partially update the specified Dashboard,"{""x-kubernetes-action"":""patch"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards/{name},DELETE,delete,Dashboard,,deleteNamespacedDashboard,,delete a Dashboard,"{""x-kubernetes-action"":""delete"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards/{name}/restore,POST,connect,PartialObjectMetadataList,restore,connectPostNamespacedDashboardRestore,postNamespacedDashboardRestore,connect POST requests to restore of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""PartialObjectMetadataList""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/librarypanels/{name},GET,get,LibraryPanel,,readNamespacedLibraryPanel,,read the specified LibraryPanel,"{""x-kubernetes-action"":""get"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""LibraryPanel""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards/{name}/dto,GET,connect,DashboardWithAccessInfo,dto,connectGetNamespacedDashboardDto,getNamespacedDashboardDto,connect GET requests to dto of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""DashboardWithAccessInfo""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards/{name}/latest,GET,connect,PartialObjectMetadataList,latest,connectGetNamespacedDashboardLatest,getNamespacedDashboardLatest,connect GET requests to latest of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""PartialObjectMetadataList""}}"
/apis/dashboard.grafana.app/v1alpha1/,GET,,,,getAPIResources,,get available resources,null
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards,GET,list,Dashboard,,listNamespacedDashboard,,list or watch objects of kind Dashboard,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards,POST,post,Dashboard,,createNamespacedDashboard,,create a Dashboard,"{""x-kubernetes-action"":""post"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards,DELETE,deletecollection,Dashboard,,deletecollectionNamespacedDashboard,,delete collection of Dashboard,"{""x-kubernetes-action"":""deletecollection"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/watch/namespaces/{namespace}/dashboards/{name},GET,watch,Dashboard,,watchNamespacedDashboard,,"watch changes to an object of kind Dashboard. deprecated: use the 'watch' parameter with a list operation instead, filtered to a single item with the 'fieldSelector' parameter.","{""x-kubernetes-action"":""watch"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/watch/dashboards,GET,watchlist,Dashboard,,watchDashboardListForAllNamespaces,,watch individual changes to a list of Dashboard. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/librarypanels,GET,list,LibraryPanel,,listLibraryPanelForAllNamespaces,,list objects of kind LibraryPanel,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""LibraryPanel""}}"
/apis/dashboard.grafana.app/v1alpha1/watch/namespaces/{namespace}/dashboards,GET,watchlist,Dashboard,,watchNamespacedDashboardList,,watch individual changes to a list of Dashboard. deprecated: use the 'watch' parameter with a list operation instead.,"{""x-kubernetes-action"":""watchlist"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/dashboards/{name}/history,GET,connect,PartialObjectMetadataList,history,connectGetNamespacedDashboardHistory,getNamespacedDashboardHistory,connect GET requests to history of Dashboard,"{""x-kubernetes-action"":""connect"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""PartialObjectMetadataList""}}"
/apis/dashboard.grafana.app/v1alpha1/namespaces/{namespace}/librarypanels,GET,list,LibraryPanel,,listNamespacedLibraryPanel,,list objects of kind LibraryPanel,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""LibraryPanel""}}"
/apis/dashboard.grafana.app/v1alpha1/dashboards,GET,list,Dashboard,,listDashboardForAllNamespaces,,list or watch objects of kind Dashboard,"{""x-kubernetes-action"":""list"",""x-kubernetes-group-version-kind"":{""group"":""dashboard.grafana.app"",""version"":""v1alpha1"",""kind"":""Dashboard""}}"
/apis/featuretoggle.grafana.app/,GET,,,,getAPIGroup,,get information of a group,null
